weburl,Not Relevant,Paragraph Structure,Data Collection,Consent,Responsible Use,Third-Parties,User-Rights,Overall,Comment
www.donegalgroup.com,0,1,0,-1,0,-1,-1,-1,Missing rights
www.unifi.com,1,/,/,/,/,/,/,/,
www.tysonfoods.com,0,1,-1,1,0,1,1,1,Clear
www.bbinsurance.com,0,1,0,-1,0,0,-1,-1,Missing rights
www.cara.com,0,1,0,0,0,0,0,0,
www.akita-drilling.com,0,1,0,0,0,0,0,0,
www.vrtx.com,0,1,-1,-1,0,0,1,0,Clear
www.glu.com,0,1,-1,0,1,0,1,1,Clear
www.mramazingloans.com,0,1,0,0,-1,0,-1,-1,Missing rights
www.centrichealth.ca,0,1,-1,-1,0,0,-1,-1,Unclear
www.firstsolar.com,0,1,1,0,0,0,1,1,Clear
www.matw.com,0,1,0,0,-1,0,0,0,
www.godaddy.com,1,/,/,/,/,/,/,/,
www.spx.com,0,1,0,1,1,-1,0,1,Clear
www.wajax.com,0,1,0,0,-1,0,0,0,
www.wns.com,0,1,0,0,-1,0,-1,-1,Missing righs
www.inpixon.com,0,1,0,0,1,1,0,1,Third-party assurance
www.koss.com,0,1,0,0,0,-1,-1,-1,Missing rights
www.endrainc.com,0,1,0,0,0,0,0,0,
www.ledyardbank.com,0,1,0,0,0,0,-1,0,Missing rights
www.engility.com,0,1,1,0,-1,-1,-1,-1,Missing key components
www.ford.com,0,1,0,-1,-1,0,-1,-1,Unclear
www.brighthousefinancial.com,0,1,0,0,0,1,-1,0,
www.amazon.com,0,1,-1,1,0,1,1,1,"Extensive data collection, clear"
www.helixesg.com,0,1,0,0,0,0,-1,-1,Missing rights
www.millerind.com,0,1,-1,-1,-1,-1,0,-1,Missing key components
www.owenscorning.com,0,1,0,0,0,0,0,0,
www.cimpress.com,0,1,0,0,-1,0,0,0,
www.bluelinxco.com,0,1,0,0,0,1,-1,0,
www.winmarkcorporation.com,0,1,0,0,1,0,1,1,Clear
www.posera.com,0,1,0,0,0,0,1,0,
www.keysight.com,0,1,0,1,1,1,1,1,
www.chf-solutions.com,0,1,0,0,0,0,1,0,
www.etrion.com,1,/,/,/,/,/,/,/,
www.creative.com,0,1,-1,-1,-1,-1,-1,-1,Unclear
www.gardnerdenver.com,0,1,0,-1,1,0,1,0,
www.exeloncorp.com,0,1,0,-1,0,0,-1,-1,Missing rights
www.fieracapital.com,0,1,0,1,0,1,1,1,Third-party assurance
www.incyte.com,0,1,0,0,0,-1,-1,-1,Missing key components
www.uqm.com,0,1,-1,0,-1,-1,-1,-1,Missing key components
www.boeing.com,0,1,0,-1,-1,0,0,-1,Unclear
www.avinger.com,0,1,1,1,0,0,-1,0,
www.christopherandbanks.com,0,1,0,-1,0,0,0,0,
www.corporatecapitaltrust.com,0,1,0,-1,0,0,-1,-1,Missing rights
www.lannett.com,0,1,0,-1,0,-1,-1,-1,Onerous on user
www.intercontinentalexchange.com,0,1,0,0,0,1,1,1,Clear
www.lockheedmartin.com,0,1,0,0,1,1,1,1,Clear
biostage.com,0,1,0,-1,0,0,-1,-1,Missing key components
www.infoa.com,1,/,/,/,/,/,/,/,
www.wolverineworldwide.com,0,1,1,0,1,1,0,1,
www.taitroncomponents.com,0,1,0,0,-1,-1,-1,-1,Missing key components
www.dryships.com,1,/,/,/,/,/,/,/,
www.saexploration.com,0,1,1,0,1,-1,1,1,
www.graphicpkg.com,0,1,0,0,0,0,-1,-1,Missing rights
www.tmx.com,0,1,0,-1,0,-1,-1,-1,Onerous on user
www.aegleabio.com,0,1,0,0,0,1,0,0,
www.corepoint.com,1,/,/,/,/,/,/,/,
www.attunity.com,0,1,0,0,-1,-1,-1,-1,Missing key components
www.shpreit.com,0,1,0,0,1,-1,-1,-1,Missing key components
www.generalcable.com,0,1,0,0,0,0,-1,0,
www.silversuntech.com,0,1,/,/,/,/,/,/,
www.asuresoftware.com,0,1,0,0,-1,0,1,-1,Unclear
tfcc.ca,0,1,-1,-1,-1,-1,-1,-1,Missing key components
www.amtrustfinancial.com,0,1,0,-1,1,1,0,0,Onerous on user
www.extremenetworks.com,0,1,0,0,1,1,0,1,Clear
www.geemedia.com,0,1,0,0,0,0,0,0,
www.optimizerx.com,0,1,0,0,0,0,-1,0,
www.arbutusbio.com,1,/,/,/,/,/,/,/,
www.gpstrategies.com,0,1,0,0,0,0,0,-1,Unclear
www.sabrahealth.com,0,1,0,0,0,0,0,0,
www.fgb.net,1,/,/,/,/,/,/,/,
www.synovus.com,1,/,/,/,/,/,/,/,
www.roberthalf.com,1,/,/,/,/,/,/,/,
www.jbssinc.com,0,1,-1,0,-1,-1,-1,-1,Missing key components
www.zynerba.com,0,1,0,-1,0,0,0,0,Onerous consent
www.rogers.com,0,1,-1,-1,-1,-1,-1,-1,Missing key components
www.presbia.com,0,1,0,0,0,0,0,0,
www.arenaminerals.com,0,1,-1,0,-1,0,-1,-1,Missing key components
www.premierinc.com,0,1,0,0,0,0,0,0,
www.versoco.com,0,1,0,0,1,1,-1,0,
www.microstrategy.com,0,1,1,1,1,1,1,1,Clear
www.tenneco.com,0,1,1,1,1,1,1,1,Clear
www.mts.com,0,1,0,0,0,0,1,0,Unclear
www.necommunitybank.com,1,/,/,/,/,/,/,/,
www.trimascorp.com,0,1,0,0,-1,0,-1,-1,Missing rights
www.altimmune.com,1,/,/,/,/,/,/,/,
www.ta-petro.com,0,1,1,0,1,0,-1,0,
www.gulfportenergy.com,0,1,0,0,-1,-1,-1,-1,Missing key components
ca.blackberry.com,1,/,/,/,/,/,/,/,
www.hollyenergy.com,0,1,-1,0,0,-1,-1,-1,Missing key components
www.dermira.com,0,1,-1,-1,-1,-1,-1,-1,Missing key components
www.renre.com,0,1,-1,0,-1,-1,-1,-1,Missing key components
www.zoomermedia.ca,0,1,0,1,1,1,1,1,
www.peoplesbanknc.com,0,1,-1,0,-1,0,-1,-1,Missing key components
www.mobilemini.com,0,1,-1,-1,-1,-1,-1,-1,Onerous on user
www.american-equity.com,0,1,0,0,0,1,0,0,
www.santanderconsumerusa.com,0,1,0,0,0,0,-1,0,Missing rights
www.support.com,0,1,1,0,1,1,1,1,
www.odfl.com,0,1,0,0,1,0,1,1,
www.netsoltech.com,0,1,0,0,-1,-1,-1,-1,Missing key components
www.sircorp.com,0,1,0,0,0,-1,0,0,
www.pgbank.com,1,/,/,/,/,/,/,/,
www.redviolet.com,0,1,-1,0,-1,1,-1,-1,Missing key components
www.rubicontechnology.com,1,/,/,/,/,/,/,/,
www.entegris.com,0,1,-1,0,-1,0,-1,-1,Missing key components
www.wisdomtree.com,0,1,0,0,1,0,-1,0,
www.iconplc.com,0,1,1,1,1,1,1,1,Clear
www.macquarie.com,0,1,0,0,1,1,1,1,
www.wesco.com,0,1,0,0,0,0,0,0,
www.myersindustries.com,0,1,-1,0,0,0,-1,0,Missing rights
www.johnmarshallbank.com,1,/,/,/,/,/,/,/,
www.alteryx.com,0,1,0,0,1,1,1,1,
www.astronovainc.com,0,1,0,0,1,0,1,0,Unclear
www.onemainfinancial.com,0,1,0,-1,0,0,0,0,Unclear
www.bankozarks.com,0,1,0,0,0,0,-1,0,Missing rights
www.ferrari.com,0,1,0,0,-1,-1,0,-1,Missing key components
www.goodyear.com,0,1,-1,0,-1,0,0,-1,Unclear
www.neenah.com,0,1,1,0,1,0,1,1,
www.gcpat.com,0,1,1,0,1,1,1,1,
www.pressurebiosciences.com,0,1,1,0,1,1,1,1,
www.edison.com,0,1,0,0,1,0,1,0,
www.icadmed.com,0,1,1,0,1,1,1,1,
www.asaltd.com,0,1,-1,0,-1,0,-1,-1,Missing key components
www.Kohls.com,0,1,0,0,0,0,1,0,
www.harborone.com,1,/,/,/,/,/,/,/,
www.ourfirstfed.com,0,1,1,0,0,1,-1,0,Third-party assurance
www.farmermac.com,0,1,0,0,0,0,-1,0,
www.orthofix.com,0,1,0,0,1,1,1,1,Clear
www.rambus.com,0,1,1,0,1,1,1,1,
www.stratasys.com,0,1,0,0,0,1,1,1,
www.churchdwight.com,0,1,0,0,1,1,1,1,
www.deltaco.com,0,1,0,0,0,0,0,0,
www.seic.com,0,1,0,0,0,0,-1,0,Missing rights
www.anteroresources.com,1,/,/,/,/,/,/,/,
www.L3T.com,0,1,0,0,-1,0,1,0,Unclear
www.capitalone.com,0,1,0,0,0,0,0,0,Unclear
www.id-systems.com,0,1,0,0,1,1,1,1,
galmedpharma.com,0,1,0,0,0,0,-1,0,Missing rights
www.cdkglobal.com,0,1,1,0,1,1,1,1,
www.idacorpinc.com,0,1,0,0,1,1,-1,0,Missing rights
www.vmware.com,0,1,0,0,0,0,1,0,
www.aggrowth.com,0,1,0,0,0,1,1,1,
www.corelogic.com,0,1,0,0,0,0,0,0,
www.danskebank.com,0,1,0,0,0,-1,-1,-1,Missing key components
www.amnhealthcare.com,0,1,0,0,-1,0,0,0,Unclear
www.oaktreecapital.com,0,1,0,0,0,0,0,0,
www.materialise.com,0,1,0,0,-1,0,0,0,
www2.chubb.com,0,1,0,0,0,0,-1,0,Missing rights
www.radcom.com,1,/,/,/,/,/,/,/,
www.lamar.com,0,1,0,0,0,0,-1,0,Missing rights
www.interface.com,0,1,0,0,0,0,0,0,
www.libertyglobal.com,0,1,0,0,0,0,-1,0,Missing rights
www.yext.com,0,1,0,0,0,0,1,0,
www.wd40company.com,0,1,0,0,1,1,-1,0,Missing rights
