gvkey,conm,weburl,found,visible,paragraphs,words,fog,overall,tptrackingcookies
13970,TVA GROUP INC  -CL B,groupetva.ca,1,0,56,4827,17.726471,.11551578,0
21055,GROW CONDOS INC,growcondos.com,0,0,,,,,0
164391,HIGH ARCTIC ENERGY SERVICES,haes.ca,0,0,,,,,0
29194,TELECOM ARGENTINA,hogares.telecom.com.ar,0,0,,,,,4
30874,KEPCO-KOREA ELEC POWER CORP,home.kepco.co.kr,1,0,86,2732,19.179886,.34015477,0
146659,HOUSTON AMERN ENERGY CORP,houstonamerican.com,0,0,,,,,0
3413,CONSOLIDATED EDISON INC,https://www.conedison.com,0,0,,,,,1
106609,GLACIER MEDIA INC,https://www.glaciermedia.ca/,0,0,,,,,0
150159,ICTV BRANDS INC,ictvbrands.com,0,0,,,,,0
183669,IMV INC,imv-inc.com,1,1,9,550,18.249516,-.40290394,0
18388,INPUT CAPITAL CORP,inputcapital.com,0,0,,,,,1
126020,INTELLICHECK INC,intellicheck.com,1,1,27,1205,18.140089,-.019401845,2
27131,INVESQUE INC,invesque.com,1,1,25,1724,19.893089,.41469768,0
30175,DIVERSICARE HEALTHCARE SVCS,investor.dvcr.com,0,1,,,,,1
26037,HMS HOLDINGS CORP,investor.hms.com,0,1,,,,,2
21004,LANTHEUS HOLDINGS INC,investor.lantheus.com,1,1,2,171,19.141085,-.48510215,2
7733,NATIONAL FUEL GAS CO,investor.nationalfuelgas.com,0,1,,,,,1
163921,WILLIAMS PARTNERS LP,investor.williams.com,0,1,,,,,0
32855,AVAYA HLDGS CORP,investors.avaya.com/home/default.aspx,1,1,3,205,20.205072,-.1444097,1
19713,UNION BANKSHARES CORP,investors.bankatunion.com,1,1,2,59.540001,19.571428,-.30683082,1
24421,BOXLIGHT CORP,investors.boxlight.com,1,1,17,1159,16.455719,.25448212,1
177108,CINEMARK HOLDINGS INC,investors.cinemark.com,0,1,,,,,2
154773,CRH MEDICAL CORP,investors.crhsystem.com,1,1,5,263,15.834626,-.50768071,2
19906,GRUBHUB INC,investors.grubhub.com,1,1,55,3516,19.625191,.91471523,1
31796,JAMIESON WELLNESS INC,investors.jamiesonwellness.com,1,1,61,5175,23.130251,-.28670561,1
19431,PERMA-PIPE INTERNATIONAL HOL,investors.permapipe.com,0,0,,,,,0
3813,TARGET CORP,investors.target.com,1,1,5,177,14.085455,.066630483,3
22867,INVITAE CORP,invitae.com,1,1,78,4865,17.480621,1.3050287,8
175007,ALLEGIANT TRAVEL CO,ir.allegiantair.com,0,1,,,,,2
60923,DAVE & BUSTER'S ENTMT INC,ir.daveandbusters.com,1,1,17,1611,19.720663,.19821654,2
147303,DRIVE SHACK INC,ir.driveshack.com,1,0,17,2211,20.755165,-.39894843,1
176703,ESSA BANCORP INC,ir.essabank.com,1,1,19,536,13.935778,-.32622647,0
24157,FIRSTCASH INC,ir.firstcash.com,1,1,7,381,19.040592,-.16888374,1
185518,GLOBAL BROKERAGE INC,ir.globalbrokerage.info,0,0,,,,,0
29598,ICC HOLDING INC,ir.iccholdingsinc.com,0,0,,,,,2
6994,MANITOWOC CO,ir.manitowoc.com,1,1,36,1339,18.511681,.38650593,1
29517,MEDIFAST INC,ir.medifastinc.com,1,0,64,4210,19.563622,-.34780499,0
137435,NETEASE INC,ir.netease.com,1,1,39,3332,17.245987,-.33145809,2
6865,MDC HOLDINGS INC,ir.richmondamerican.com,1,1,27,1337,18.202398,-.1826711,1
187118,YANDEX N.V.,ir.yandex.com,1,0,80,3274,22.017563,.63958979,2
32316,JAGUAR HEALTH INC,jaguar.health,1,1,48,3572,15.574189,-.041074537,1
29524,KEANE GROUP INC,keanegrp.com,0,1,,,,,4
30861,KNIGHT-SWIFT TRPTN HLDGS INC,knight-swiftinc.com,1,1,15,912,15.696175,-.92134941,0
157354,KRONOS WORLDWIDE INC,kronostio2.com,1,1,38,2513,15.978023,1.1036451,0
140170,KUUHUBB INC,kuuhubb.co,1,1,25,927,16.526144,.44214663,2
27490,LINE CORP,linecorp.com,1,0,38,1633,19.263678,.14327943,2
106720,LOGIQ ASSET MANAGEMENT INC,logiqasset.com,1,1,8,718,18.550529,.31196326,
140982,LIGHTBRIDGE CORP,ltbridge.com,0,0,,,,,0
28385,MAGAL SECURITY SYSTEMS,magalsecurity.com,0,0,,,,,2
174647,TRIPLE-S MANAGEMENT CORP,management.grupotriples.com,1,0,12,585,16.66346,-.45274949,9
24932,MCAN MORTGAGE CORP,mcanmortgage.com,1,1,89,4458,20.579119,.74804801,0
20133,MEDITE CANCER DIAGNOSTICS,medite-group.com,0,0,,,,,0
196856,MELINTA THERAPEUTICS INC,melinta.com,1,1,19,848,17.459688,-.31388763,0
206468,ROSTELECOM PJSC,moscow.rt.ru,0,0,,,,,4
24379,MGIC INVESTMENT CORP/WI,mtg.mgic.com,0,1,,,,,2
27274,NANTHEALTH INC,nanthealth.com,1,1,18,1463,18.89278,-.35148168,7
210418,ABB LTD,new.abb.com,1,1,33,1743,16.495886,.63953972,10
21178,NEW AGE BEVERAGES CORP,newagebev.us,1,1,22,1264,15.378276,.45418379,1
18043,NEWS CORP,newscorp.com,1,1,31,1810,20.640734,.44209686,0
31507,NINE ENERGY SERVICE INC,nineenergyservice.com,1,1,14,752,18.837635,.060302183,3
184585,NOVA LIFESTYLE INC,novalifestyle.com,0,1,,,,,0
18868,OCI PARTNERS LP,ocipartnerslp.com,1,1,13,859,17.887472,.12474672,4
25274,UNIVERSAL DISPLAY CORP,oled.com,0,0,,,,,0
174376,OPSENS INC,opsens.com,1,1,4,122,17.641531,-.77559501,0
15539,PARATEK PHARMACEUTCLS INC,paratekpharma.com,1,1,33,1902,17.575157,.46788383,0
8348,PARK ELECTROCHEMICAL CORP,parkelectro.com,1,0,107,7180,21.467346,-.33916274,1
15016,PHOENIX CANADA OIL CO LTD,phoenix-pco.com,0,0,,,,,0
33051,PINNACLE RENEWABLE HLDNG,pinnaclepellet.com,1,0,159.92,9791.4697,23.966148,-.41379613,2
184526,PRIMO WATER CORP,primowater.com,1,1,10,1367,14.388185,.00014636949,5
17150,WEBSTER FINANCIAL CORP,public.websteronline.com,1,1,2,116,13.270085,-.58150607,28
24506,PULMATRIX INC,pulmatrix.com,0,0,,,,,0
33068,PURPLE INNOVATION INC,purple.com,0,1,,,,,28
184263,QUINSTREET INC,quinstreet.com,1,1,31,2154,19.189394,.69022632,0
162914,RADIANT LOGISTICS INC,radiantdelivers.com,1,1,7,524,17.923809,-.59962112,0
29670,RAMACO RESOURCES INC,ramacoresources.com,0,0,,,,,0
28470,RA PHARMACEUTICALS INC,rapharma.com,0,0,,,,,0
166485,REGIONAL HEALTH PROPERTS INC,regionalhealthproperties.com,1,1,9,235,18.782251,-.10917494,0
29921,REVOLUTION LIGHTING TECHNLGS,rvlti.com,1,1,14,796,14.824304,-.13889737,0
186240,RYU APPAREL INC,ryu.com,1,1,24,1745,19.312517,.69053501,2
27790,SAGA COMMUNICATIONS  -CL A,sagacom.com,1,1,19,1050,20.259972,-.67567927,1
186392,SEAWORLD ENTERTAINMENT INC,seaworldentertainment.com,1,1,55,4359,19.017586,.62916827,26
264694,STRATEGIC ENVIRONMTL& ENERGY,seer-corp.com,1,0,2,208,16.938461,-.11151709,0
27354,SELECTA BIOSCIENCES INC,selectabio.com,1,1,15,638,17.846285,-.59037316,1
32675,SENDGRID INC,sendgrid.com,1,1,8,211,16.961826,.13724183,11
28365,SENESTECH INC,senestech.com,1,1,61,2843,15.751785,.58847219,1
186903,SHARPSPRING INC,sharpspring.com,1,1,158,6871,18.069073,1.1302099,2
7922,NORDSTROM INC,shop.nordstrom.com,1,1,61,3397,22.463827,.40840742,6
22037,SIENTRA INC,sientra.com,1,1,18,1696,17.980696,-.69871634,0
112168,REPUBLIC SERVICES INC,site.republicservices.com,0,0,,,,,0
25893,SITEONE LANDSCAPE SUPPLY INC,siteone.com,0,0,,,,,
121142,SKECHERS U S A INC,skx.com,1,1,1,168,17.219048,-.12390017,1
32525,SPERO THERAPEUTICS INC,sperotherapeutics.com,1,1,11,790,16.880808,-.21601194,0
110250,SUMMIT FINANCIAL GROUP INC,summitfgi.com,0,1,,,,,0
165968,SUNWORKS INC,sunworksusa.com,1,1,8,476,15.253051,-.20724513,14
10198,SUPERIOR GROUP OF COS INC,superiorgroupofcompanies.com,1,1,23,1994,15.285627,.24265045,
176259,TEEKAY OFFSHORE PARTNERS LP,teekay.com,1,1,22,1113,18.463186,.1128846,4
10390,TEJON RANCH CO,tejonranch.com,1,1,10,470,17.836178,-.65276009,1
179212,TERRA FIRMA CAPITAL CORP,tfcc.ca,1,1,5,186,17.551369,-.23421453,0
14639,NEW ENGLAND REALTY ASSC  -LP,thehamiltoncompany.com,0,0,,,,,
7277,MESA ROYALTY TRUST,thehamiltoncompany.com,0,0,,,,,
30749,QYOU MEDIA INC,theqyou.tv,0,0,,,,,1
180146,TOMI ENVIRONMENTAL SOLUTINS,tomimist.com,1,1,22,1179,17.41119,.23506899,2
184619,TROPICANA ENTERTAINMENT INC,tropicanacasinos.com,1,1,40,1964,18.371546,.086833283,2
187350,TRUTANKLESS INC,trutanklessinc.com,0,0,,,,,0
22040,UPLAND SOFTWARE INC,uplandsoftware.com,1,1,16,1060,15.935019,.36112899,6
